match_id,league_id,start_time,patch_version,radiant_hero_ids,dire_hero_ids,radiant_account_ids,dire_account_ids,radiant_win,early_gold_delta_15,early_xp_delta_15,radiant_core_execution_synergy,dire_core_execution_synergy,pressure_team,pressure_retention_std,radiant_pos1_gpm,radiant_pos2_gpm,dire_pos1_gpm,dire_pos2_gpm
8608974467,18988,1765968902,59,"[102, 129, 126, 93, 9]","[40, 70, 35, 96, 101]","[1044002267, 56351509, 106573901, 164199202, 73401082]","[10366616, 100058342, 898455820, 183719386, 25907144]",1,1304,516,1.010941960038059,1.1514122812766237,,,762,681,655,488
8609085945,18988,1765974265,59,"[95, 33, 39, 65, 66]","[40, 21, 53, 28, 62]","[1044002267, 56351509, 106573901, 164199202, 73401082]","[10366616, 100058342, 898455820, 183719386, 25907144]",1,1314,2618,1.238375183210656,1.169403476762455,,,811,635,545,899
8609256354,18988,1765981499,59,"[63, 131, 74, 62, 2]","[47, 106, 65, 71, 37]","[321580662, 108958769, 106305042, 847565596, 302214028]","[898754153, 173978074, 129958758, 101695162, 94296097]",1,1592,1030,1.2493459123908393,2.082951178546491,,,918,778,740,664
8609420125,18988,1765987556,59,"[72, 126, 96, 138, 100]","[70, 37, 107, 119, 129]","[898754153, 173978074, 129958758, 101695162, 94296097]","[321580662, 108958769, 106305042, 847565596, 302214028]",0,-4196,-5911,1.3589228594807707,1.0613599822586905,dire,5606.160807540219,670,467,868,573
8609577898,18988,1765994135,59,"[84, 123, 49, 28, 52]","[29, 119, 64, 19, 70]","[100594231, 155494381, 324277900, 146711951, 355168766]","[86698277, 346412363, 136829091, 93618577, 331855530]",0,134,-1396,1.1710410832950224,0.9297972164493986,dire,2178.5098618509437,569,570,690,599
8609658039,18988,1765998237,59,"[84, 138, 53, 2, 52]","[98, 119, 64, 107, 8]","[100594231, 155494381, 324277900, 146711951, 355168766]","[86698277, 346412363, 136829091, 93618577, 331855530]",0,-4157,-2966,1.586152273888605,0.9219603267211202,,,606,644,834,496
8610327187,18988,1766055297,59,"[8, 53, 29, 37, 100]","[19, 63, 2, 62, 5]","[171262902, 312436974, 195108598, 93817671, 103735745]","[154715080, 97658618, 126212866, 241884166, 94155156]",1,-177,2845,0.7790833650337433,1.0922583081570998,,,775,656,667,558
8610407872,18988,1766059255,59,"[107, 8, 28, 65, 66]","[138, 49, 96, 5, 71]","[154715080, 97658618, 126212866, 241884166, 94155156]","[171262902, 312436974, 195108598, 93817671, 103735745]",1,-1381,-3241,1.335389507154213,1.8969900306748466,,,846,456,522,572
8610508424,18988,1766063814,59,"[82, 53, 2, 40, 79]","[19, 109, 77, 65, 64]","[171262902, 312436974, 195108598, 93817671, 103735745]","[154715080, 97658618, 126212866, 241884166, 94155156]",1,4984,5302,0.8806222274449895,0.847338223545646,radiant,5223.587962310963,745,853,478,458
8610608932,18988,1766068139,59,"[21, 68, 47, 71, 96]","[102, 29, 13, 65, 66]","[321580662, 108958769, 106305042, 847565596, 302214028]","[1044002267, 56351509, 106573901, 164199202, 73401082]",1,4280,3939,0.7798617966436328,0.8695349131922443,radiant,3091.1262290039795,806,734,547,522
8610733410,18988,1766072333,59,"[145, 77, 53, 88, 45]","[70, 100, 47, 79, 49]","[1044002267, 56351509, 106573901, 164199202, 73401082]","[321580662, 108958769, 106305042, 847565596, 302214028]",0,1001,-2951,0.7776848991459204,0.717088390047857,,,559,576,824,712
8610908761,18988,1766080493,59,"[93, 49, 98, 30, 138]","[29, 119, 45, 19, 8]","[171262902, 312436974, 195108598, 93817671, 103735745]","[86698277, 346412363, 136829091, 93618577, 331855530]",0,-1154,459,1.039061813709701,1.0952567877003598,dire,281.0166068639598,428,398,651,517
