match_id,start_time,patch_version,radiant_win,radiant_recent_winrate,dire_recent_winrate,r1_hero_winrate,r2_hero_winrate,r3_hero_winrate,r4_hero_winrate,r5_hero_winrate,d1_hero_winrate,d2_hero_winrate,d3_hero_winrate,d4_hero_winrate,d5_hero_winrate
8608974467,1765968902,59,1,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
8609085945,1765974265,59,1,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5
8609256354,1765981499,59,1,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
8609420125,1765987556,59,0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
8609577898,1765994135,59,0,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
8609658039,1765998237,59,0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,1.0,1.0,0.5,0.5
8610327187,1766055297,59,1,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
8610407872,1766059255,59,1,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
8610508424,1766063814,59,1,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.0,0.5,0.5,1.0,0.5
8610608932,1766068139,59,1,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,1.0
8610733410,1766072333,59,0,0.6667,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5
8610908761,1766080493,59,0,0.6667,1.0,0.5,0.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0
8610997048,1766084215,59,1,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.5
8611101416,1766089195,59,1,0.6,0.75,0.5,1.0,0.5,0.5,1.0,1.0,0.75,0.5,0.5,1.0
8611704029,1766141701,59,1,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5
8611813882,1766147170,59,1,0.3333,0.0,1.0,0.0,1.0,0.0,0.5,0.5,0.0,0.5,0.5,0.5
8611968266,1766154300,59,0,0.3333,0.0,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5
8612073954,1766158142,59,1,0.3333,0.25,1.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
8612296716,1766166969,59,1,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
8612387534,1766170800,59,1,0.6,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,1.0,0.5,0.5
8613199952,1766228169,59,1,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5
8613296700,1766231942,59,1,0.4,0.6,0.0,0.5,0.5,0.0,0.5,1.0,0.5,0.0,1.0,1.0
8613407484,1766236500,59,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5
8613524044,1766241062,59,0,1.0,0.6667,0.5,0.5,1.0,0.5,1.0,1.0,0.5,0.0,0.5,1.0
8613669497,1766245501,59,0,0.8,0.7143,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.5,1.0
8613871238,1766253306,59,0,0.6667,0.5714,1.0,0.5,1.0,0.5,0.6667,0.5,0.0,1.0,0.0,0.0
8613974929,1766257981,59,1,0.625,0.5714,0.5,1.0,0.5,0.5,0.5,0.6667,0.5,0.5,1.0,0.5
8614840952,1766314605,59,1,0.6667,0.6667,0.5,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.5
8614983405,1766320501,59,0,0.6,0.7143,0.6667,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5
8615212174,1766328901,59,1,0.75,0.75,0.5,1.0,1.0,0.5,0.5,1.0,0.0,1.0,0.0,1.0
8615341751,1766333161,59,1,0.6667,0.7778,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.5,0.5
8615442050,1766337481,59,0,0.7,0.7,1.0,0.5,0.5,1.0,1.0,0.5,0.5,1.0,1.0,0.5
8615531269,1766341021,59,1,0.7273,0.6364,1.0,1.0,0.5,1.0,1.0,0.5,0.5,0.5,0.5,1.0
8677196852,1770206279,59,1,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
8677201827,1770206373,59,0,,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0
8677261775,1770209279,59,0,0.0,0.3333,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5
8677288942,1770210517,59,0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5
8677484389,1770218890,59,0,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
8677494117,1770219128,59,0,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
8677564756,1770222258,59,0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0
8677600320,1770223897,59,1,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
8677674341,1770227535,59,0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.0,0.5,0.5
8678450147,1770292686,59,1,0.4286,0.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
8678463732,1770292820,59,1,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.5
8678468666,1770293033,59,0,0.0,0.3333,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5
8678554261,1770297064,59,1,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,1.0,1.0,0.5,0.6667
8678554665,1770297081,59,0,1.0,0.6667,0.5,0.5,0.5,1.0,0.5,0.5,1.0,1.0,1.0,0.5
8678559674,1770297305,59,1,0.5,0.0,0.5,1.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0
8678617868,1770300271,59,1,0.25,0.4444,0.0,0.5,0.5,1.0,0.5,1.0,0.5,0.6667,0.5,0.5
8678657524,1770301529,59,0,0.75,0.75,1.0,0.5,0.5,0.5,0.0,1.0,0.5,0.0,1.0,1.0
8678742616,1770305327,59,1,0.4,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
8678753328,1770305467,59,1,0.4,0.6667,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5
8678756038,1770305755,59,1,0.6,0.0,0.5,0.5,0.0,1.0,0.5,0.0,0.5,0.5,0.5,0.5
